,school_MS,sex_M,age,address,famsize,Pstatus,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,course,Mjob_at_home,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_at_home,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,reason_course,reason_home,reason_other,reason_reputation,guardian_father,guardian_mother,guardian_other,y
14,0,1,15,1,0,0,2,2,1,3,0,0,1,0,0,1,1,1,1,4,5,2,1,1,3,0,14,16,16,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,True
15,0,0,16,1,0,1,4,4,1,1,0,0,1,0,0,1,1,1,0,4,4,4,1,2,2,4,14,14,14,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,True
16,0,0,16,1,0,1,4,4,1,3,0,0,1,1,1,1,1,1,0,3,2,3,1,2,2,6,13,14,14,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,True
17,0,0,16,1,0,1,3,3,3,2,0,1,1,0,1,1,1,0,0,5,3,2,1,1,4,4,8,10,10,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,True
18,0,1,17,1,0,1,3,2,1,1,3,0,1,0,1,1,1,1,0,5,5,5,2,4,5,16,6,5,5,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,False
19,0,1,16,1,1,1,4,3,1,1,0,0,0,1,1,1,1,1,0,3,1,3,1,3,5,4,8,10,10,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,True
20,0,1,15,1,0,1,4,3,1,2,0,0,0,0,0,1,1,1,0,4,4,1,1,1,1,0,13,14,15,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,True
21,0,1,15,1,0,1,4,4,1,1,0,0,1,1,0,1,1,1,0,5,4,2,1,1,5,0,12,15,15,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,True
22,0,1,16,1,1,1,4,2,1,2,0,0,0,0,1,1,1,1,0,4,5,1,1,3,5,2,15,15,16,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,True
23,0,1,16,1,1,1,2,2,2,2,0,0,1,0,1,1,1,1,0,5,4,4,2,4,5,0,13,13,12,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,True
24,0,0,15,0,0,1,2,4,1,3,0,1,1,1,1,1,1,1,0,4,3,2,1,1,5,2,10,9,8,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,False
25,0,0,16,1,0,1,2,2,1,1,2,0,1,1,0,0,1,1,0,1,2,2,1,3,5,14,6,9,8,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,False
26,0,1,15,1,0,1,2,2,1,1,0,0,1,1,0,1,1,1,0,4,2,2,1,2,5,2,12,12,11,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,True
27,0,1,15,1,0,1,4,2,1,1,0,0,0,1,0,1,1,1,0,2,2,4,2,4,1,4,15,16,15,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,True
28,0,1,16,1,1,0,3,4,1,2,0,1,1,0,1,1,1,1,0,5,3,3,1,1,5,4,11,11,11,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,True
29,0,1,16,1,0,1,4,4,1,2,0,0,1,1,1,1,1,1,1,4,4,5,5,5,5,16,10,12,11,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,True
30,0,1,15,1,0,1,4,4,1,2,0,0,1,1,0,0,1,1,0,5,4,2,3,4,5,0,9,11,12,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,True
31,0,1,15,1,0,1,4,4,2,2,0,0,1,0,1,1,1,1,0,4,3,1,1,1,5,0,17,16,17,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,True
32,0,1,15,0,0,1,4,3,1,2,0,0,1,0,1,1,1,1,1,4,5,2,1,1,5,0,17,16,16,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,True
33,0,1,15,1,1,1,3,3,1,2,0,0,0,0,1,0,1,1,0,5,3,2,1,1,2,0,8,10,12,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,True
34,0,1,16,1,0,1,3,2,1,1,0,0,1,1,0,0,1,1,0,5,4,3,1,1,5,0,12,14,15,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,True
35,0,0,15,1,0,1,2,3,2,1,0,0,1,0,1,1,1,0,0,3,5,1,1,1,5,0,8,7,6,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,False
36,0,1,15,1,1,1,4,3,1,3,0,0,1,0,1,1,1,1,0,5,4,3,1,1,4,2,15,16,18,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,True
37,0,1,16,0,0,0,4,4,2,3,0,0,1,0,1,1,1,1,1,2,4,3,1,1,5,7,15,16,15,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,True
38,0,0,15,0,0,1,3,4,1,3,0,1,1,1,1,1,1,1,0,4,3,2,1,1,5,2,12,12,11,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,True
39,0,0,15,0,0,1,2,2,1,1,0,1,1,1,1,1,1,0,0,4,3,1,1,1,2,8,14,13,13,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,True
40,0,0,16,1,1,1,2,2,2,2,1,0,1,0,1,0,1,1,1,3,3,3,1,2,3,25,7,10,11,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,True
41,0,1,15,1,1,1,4,4,1,1,0,0,1,0,0,0,1,1,1,5,4,3,2,4,5,8,12,12,12,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,True
42,0,1,15,1,0,1,4,4,1,2,0,0,1,0,1,1,1,1,0,4,3,3,1,1,5,2,19,18,18,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,True
43,0,1,15,1,0,1,2,2,1,1,0,1,1,0,0,1,1,1,0,5,4,1,1,1,1,0,8,8,11,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,True
44,0,0,16,1,1,1,2,2,2,2,1,1,0,0,1,1,1,1,0,4,3,3,2,2,5,14,10,10,9,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,False
45,0,0,15,1,1,0,4,3,1,2,0,1,1,1,1,1,1,1,1,5,2,2,1,1,5,8,8,8,6,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,False
46,0,0,16,1,1,0,3,3,1,2,0,0,1,0,0,1,1,1,0,2,3,5,1,4,3,12,11,12,11,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,True
47,0,1,16,1,0,1,4,3,1,4,0,0,0,0,1,1,1,1,0,4,2,2,1,1,2,4,19,19,20,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,True
48,0,1,15,1,0,1,4,2,1,2,0,0,1,1,0,1,1,0,0,4,3,3,2,2,5,2,15,15,14,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,True
49,0,0,15,1,0,1,4,4,1,2,1,1,1,0,1,0,1,1,0,4,4,4,1,1,3,2,7,7,7,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,False
50,0,0,16,1,1,1,2,2,3,2,0,0,1,1,0,1,1,1,0,4,3,3,2,3,4,2,12,13,13,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,True
51,0,0,15,1,1,1,4,2,1,2,0,0,1,1,0,1,1,1,0,4,3,3,1,1,5,2,11,13,13,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,True
52,0,1,15,1,1,0,4,2,2,1,1,0,0,0,0,1,1,0,0,5,5,5,3,4,5,6,11,11,10,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,True
53,0,0,15,1,0,1,4,4,1,1,0,1,1,1,0,1,1,1,0,3,3,4,2,3,5,0,8,10,11,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,True
54,0,0,15,1,1,0,3,3,1,1,0,0,0,1,0,1,1,1,0,5,3,4,4,4,1,6,10,13,13,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,True
55,0,0,16,1,0,0,2,1,1,2,0,0,0,1,1,1,1,1,1,5,3,4,1,1,2,8,8,9,10,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,True
56,0,0,15,1,0,0,4,3,1,2,0,0,1,1,1,1,1,1,0,4,3,2,1,1,1,0,14,15,15,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,True
57,0,1,15,1,0,1,4,4,1,2,0,0,1,0,1,1,1,0,0,3,2,2,1,1,5,4,14,15,15,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,True
58,0,1,15,1,1,1,1,2,1,2,0,1,1,0,1,1,1,1,0,4,3,2,1,1,5,2,9,10,9,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,False
59,0,0,16,1,0,1,4,2,1,2,0,0,1,0,0,1,1,1,0,4,2,3,1,1,5,2,15,16,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,True
60,0,0,16,0,0,1,4,4,1,2,0,0,1,0,1,1,1,0,0,2,4,4,2,3,4,6,10,11,11,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,True
61,0,0,16,1,0,1,1,1,4,1,0,1,1,0,1,0,1,1,1,5,5,5,5,5,5,6,10,8,11,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,True
62,0,0,16,1,1,1,1,2,1,2,0,1,0,0,1,1,1,1,0,4,4,3,1,1,1,4,8,10,9,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,False
63,0,0,16,1,0,1,4,3,1,3,0,1,1,1,1,1,1,1,0,3,4,4,2,4,4,2,10,9,9,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,False
64,0,0,15,1,1,1,4,3,1,2,0,1,0,0,1,1,1,1,1,4,4,4,2,4,2,0,10,10,10,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,True
65,0,0,16,1,1,1,4,3,3,2,0,0,1,0,1,1,1,1,0,5,4,3,1,2,1,2,16,15,15,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,True
66,0,1,15,1,0,0,4,4,1,4,0,0,1,0,1,0,1,1,1,1,3,3,5,5,3,4,13,13,12,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,True
67,0,0,16,1,0,1,3,1,1,4,0,1,1,1,0,1,1,1,0,4,3,3,1,2,5,4,7,7,6,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,False
68,0,0,15,0,1,1,2,2,2,2,0,1,1,1,0,1,1,1,0,4,1,3,1,3,4,2,8,9,8,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,False
69,0,0,15,0,1,1,3,1,2,4,0,0,1,0,0,0,1,1,0,4,4,2,2,3,3,12,16,16,16,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,True
70,0,1,16,1,0,1,3,1,2,4,0,0,1,1,0,1,1,1,0,4,3,2,1,1,5,0,13,15,15,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,True
71,0,1,15,1,0,1,4,2,1,4,0,0,0,0,0,1,1,1,0,3,3,3,1,1,3,0,10,10,10,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,True
72,0,0,15,0,0,1,1,1,1,2,2,1,1,0,0,0,1,1,1,3,3,4,2,4,5,2,8,6,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,False
73,0,1,16,1,0,1,3,1,1,1,0,0,0,0,1,1,1,0,0,5,3,2,2,2,5,2,12,12,14,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,True
74,0,0,16,1,0,1,3,3,1,2,0,1,1,1,1,1,1,1,0,4,3,3,2,4,5,54,11,12,11,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,True
75,0,1,15,1,0,1,4,3,1,2,0,0,1,1,1,1,1,1,0,4,3,3,2,3,5,6,9,9,10,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,True
76,0,1,15,1,0,1,4,0,2,4,0,0,0,0,1,1,1,1,0,3,4,3,1,1,1,8,11,11,10,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,True
77,0,0,16,1,0,1,2,2,1,4,0,0,0,1,0,1,1,1,1,5,2,3,1,3,3,0,11,11,11,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,True
78,0,1,17,1,0,1,2,1,2,1,3,1,1,0,1,1,0,1,0,4,5,1,1,1,3,2,8,8,10,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,True
79,0,0,16,1,0,1,3,4,1,2,0,0,1,0,0,1,1,1,0,2,4,3,1,2,3,12,5,5,5,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,False
80,0,1,15,1,0,1,2,3,1,1,0,1,1,1,1,0,1,1,1,3,2,2,1,3,3,2,10,12,12,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,True
81,0,1,15,1,0,1,2,3,1,3,0,1,0,1,0,0,1,1,0,5,3,2,1,2,5,4,11,10,11,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,True
82,0,0,15,1,1,1,3,2,1,2,0,0,1,1,0,1,1,1,0,4,4,4,1,1,5,10,7,6,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,False
83,0,1,15,1,1,1,2,2,2,2,0,0,0,1,1,1,1,1,0,5,3,3,1,3,4,4,15,15,15,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,True
84,0,0,15,1,0,1,1,1,1,2,0,0,1,0,1,0,1,1,0,4,3,2,2,3,4,2,9,10,10,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,True
85,0,0,15,1,0,1,4,4,2,2,2,0,0,1,0,1,1,1,1,4,4,4,2,3,5,6,7,9,8,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,False
86,0,0,16,1,1,1,2,2,1,2,0,0,1,0,0,1,1,0,0,4,3,4,1,2,2,4,8,7,6,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,False
87,0,0,15,1,0,1,4,2,1,3,0,0,1,0,1,1,1,1,0,5,3,3,1,3,1,4,13,14,14,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,True
88,0,1,16,1,0,1,2,2,2,2,1,0,0,1,1,0,1,1,0,4,4,2,1,1,3,12,11,10,10,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,True
89,0,1,16,1,1,0,4,4,1,2,0,0,1,0,0,1,1,0,0,4,1,3,3,5,5,18,8,6,7,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,False
90,0,0,16,1,0,1,3,3,1,3,0,0,1,1,0,1,1,1,1,4,3,3,1,3,4,0,7,7,8,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,False
91,0,0,15,1,0,1,4,3,1,1,0,0,0,1,1,1,1,1,0,4,5,5,1,3,1,4,16,17,18,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,True
92,0,0,16,1,1,1,3,1,1,2,0,1,1,0,0,1,1,0,0,3,3,3,2,3,2,4,7,6,6,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,False
93,0,0,16,1,0,1,4,2,2,2,0,0,1,1,1,1,1,1,0,5,3,3,1,1,1,0,11,10,10,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,True
94,0,1,15,1,1,1,2,2,1,4,0,0,1,0,1,1,1,1,0,4,3,4,1,1,4,6,11,13,14,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,True
95,0,0,15,0,0,1,1,1,2,4,1,1,1,1,1,1,1,1,0,3,1,2,1,1,1,2,7,10,10,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,True
96,0,1,16,0,0,1,4,3,2,1,0,1,1,0,1,0,1,1,0,3,3,3,1,1,4,2,11,15,15,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,True
97,0,0,16,1,0,1,2,1,1,2,0,0,1,1,0,1,1,0,1,4,3,5,1,1,5,2,8,9,10,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,True
98,0,0,16,1,0,1,4,4,1,1,0,0,0,0,1,0,1,1,0,5,3,4,1,2,1,6,11,14,14,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,True
99,0,0,16,1,0,1,4,3,1,3,0,1,1,1,0,1,1,1,0,5,3,5,1,1,3,0,7,9,8,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,False
100,0,1,16,1,0,1,4,4,1,1,0,1,1,1,1,1,1,1,0,4,5,5,5,5,4,14,7,7,5,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,False
101,0,1,16,1,0,1,4,4,1,3,0,0,1,0,1,1,1,1,1,4,4,3,1,1,4,0,16,17,17,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,True
102,0,1,15,1,0,1,4,4,1,1,0,0,1,0,1,0,1,1,0,5,3,3,1,1,5,4,10,13,14,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,True
103,0,0,15,1,0,1,3,2,2,2,0,1,1,1,0,1,1,1,0,4,3,5,1,1,2,26,7,6,6,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,False
104,0,1,15,1,0,0,3,4,1,2,0,0,1,1,1,1,1,1,0,5,4,4,1,1,1,0,16,18,18,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,True
105,0,0,15,1,0,0,3,3,1,4,0,1,0,0,0,1,1,0,0,4,3,3,1,1,4,10,10,11,11,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,True
106,0,0,15,1,0,1,2,2,1,4,0,1,1,1,0,1,1,1,0,5,1,2,1,1,3,8,7,8,8,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,False
107,0,1,16,1,0,1,3,3,1,3,0,0,1,0,1,1,1,1,0,5,3,3,1,1,5,2,16,18,18,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,True
108,0,1,15,0,0,1,4,4,4,4,0,0,1,1,1,1,1,1,1,1,3,5,3,5,1,6,10,13,13,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,True
109,0,0,16,1,1,1,4,4,1,3,0,0,1,1,1,1,1,1,1,5,4,5,1,1,4,4,14,15,16,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,True
110,0,1,15,1,1,0,4,4,1,1,0,0,0,0,1,1,1,1,0,5,5,3,1,1,4,6,18,19,19,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,True
111,0,0,16,0,0,1,3,3,1,3,1,1,1,0,1,1,1,1,0,4,1,2,1,1,2,0,7,10,10,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,True
112,0,0,16,1,0,1,2,2,1,2,1,1,0,0,1,1,1,1,0,3,1,2,1,1,5,6,10,13,13,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,True
113,0,1,15,1,1,1,4,2,1,1,0,0,0,0,0,1,1,1,0,3,5,2,1,1,3,10,18,19,19,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,True
114,0,1,15,0,0,1,2,1,1,2,0,0,0,0,1,1,1,1,1,5,4,2,1,1,5,8,9,9,9,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,False
115,0,1,16,1,0,1,4,4,1,2,0,0,1,0,1,1,1,1,0,5,4,4,1,2,5,2,15,15,16,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,True
116,0,1,15,1,0,1,4,4,2,2,0,0,1,0,1,1,1,0,0,4,4,3,1,1,2,2,11,13,14,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,True
117,0,1,16,1,0,1,3,3,2,1,0,0,0,0,1,1,1,1,0,5,4,2,1,1,5,0,13,14,13,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,True
118,0,1,17,0,0,1,1,3,3,2,1,0,1,0,1,1,1,1,0,5,2,4,1,4,5,20,9,7,8,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,False
119,0,1,15,1,0,1,3,4,1,1,0,0,0,0,0,1,1,1,0,3,4,3,1,2,4,6,14,13,13,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,True
120,0,0,15,1,0,1,1,2,1,2,0,0,0,0,0,0,1,1,0,3,2,3,1,2,1,2,16,15,15,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,True
121,0,1,15,1,0,1,2,2,1,4,0,0,1,1,1,1,1,1,0,5,5,4,1,2,5,6,16,14,15,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,True
122,0,0,16,1,1,1,2,4,2,2,0,0,1,1,1,1,1,1,1,4,2,2,1,2,5,2,13,13,13,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,True
123,0,1,16,1,0,1,4,4,1,1,0,0,1,0,1,1,1,1,0,3,4,4,1,4,5,18,14,11,13,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,True
124,0,0,16,1,0,1,2,2,1,2,0,0,0,1,0,1,1,1,1,5,4,4,1,1,5,0,8,7,8,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,False
125,0,1,15,1,0,1,3,4,1,1,0,1,0,0,0,1,1,1,0,5,5,5,3,2,5,0,13,13,12,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,True
126,0,0,15,1,1,0,3,4,1,2,0,1,0,0,1,1,1,1,1,5,3,2,1,1,1,0,7,10,11,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,True
127,0,0,19,1,0,1,0,1,1,2,3,0,1,0,0,0,0,0,0,3,4,2,1,1,5,2,7,8,9,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,False
128,0,1,18,0,0,1,2,2,1,1,2,0,1,0,1,1,1,1,0,3,3,3,1,2,4,0,7,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,False
129,0,1,16,0,0,1,4,4,1,1,0,0,0,1,1,1,1,1,0,3,5,5,2,5,4,8,18,18,18,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,True
130,0,0,15,0,0,1,3,4,2,3,2,0,1,0,0,1,1,1,1,4,2,2,2,2,5,0,12,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,False
131,0,0,15,1,0,1,1,1,3,1,0,0,1,0,1,0,1,1,1,4,3,3,1,2,4,0,8,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,False
132,0,0,17,1,1,1,2,2,1,1,0,0,1,0,0,1,1,1,1,3,4,4,1,3,5,12,10,13,12,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,True
133,0,0,16,1,0,0,3,4,1,1,0,0,0,0,0,1,1,1,0,3,2,1,1,4,5,16,12,11,11,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,True
134,0,1,15,0,0,1,3,4,4,2,0,0,1,0,0,1,1,0,1,5,3,3,1,1,5,0,9,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,False
135,0,0,15,1,0,1,4,4,1,3,0,0,1,0,1,1,1,1,1,4,3,3,1,1,5,0,11,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,False
136,0,1,17,0,0,1,3,4,3,2,0,0,0,0,0,1,1,0,0,5,4,5,2,4,5,0,10,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,False
137,0,0,16,1,0,0,3,3,2,1,2,0,1,0,1,0,1,1,1,4,3,2,1,1,5,0,4,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,False
